Month,monthly_revenue,monthly_transactions,monthly_returns,average_satisfaction,return_rate,cumulative_revenue
2024-01-01,972.9399999999999,11,6,1.9090909090909092,0.5454545454545454,972.9399999999999
2024-02-01,1519.46,16,7,1.8125,0.4375,2492.4
2024-03-01,762.0,10,6,2.3,0.6,3254.4
2024-04-01,1591.45,19,7,2.0,0.3684210526315789,4845.85
2024-05-01,1397.11,15,9,2.533333333333333,0.6,6242.96
2024-06-01,1691.73,18,7,1.8333333333333333,0.3888888888888889,7934.6900000000005
2024-07-01,1469.13,20,12,2.15,0.6,9403.82
2024-08-01,1114.25,14,3,1.7142857142857142,0.21428571428571427,10518.07
2024-09-01,677.1600000000001,9,3,2.0,0.3333333333333333,11195.23
2024-10-01,1107.11,14,7,2.4285714285714284,0.5,12302.34
2024-11-01,593.59,9,3,2.0,0.3333333333333333,12895.93
2024-12-01,1387.73,18,7,2.8333333333333335,0.3888888888888889,14283.66
2025-01-01,852.4,11,4,2.090909090909091,0.36363636363636365,15136.06
2025-02-01,606.88,6,0,2.0,0.0,15742.939999999999
2025-03-01,859.62,10,4,1.5,0.4,16602.559999999998
