feature,importance,task
cat__Quarter_2025Q1,0.615528376429694,Return Prediction
cat__Quarter_2024Q1,0.5021396256503451,Return Prediction
cat__Revenue_Band_Low,0.38639122438081136,Return Prediction
num__customer_purchase_frequency,0.38491287062778073,Return Prediction
cat__Revenue_Band_High,0.2578142060366394,Return Prediction
num__Amount,0.22357670789315592,Return Prediction
cat__Quarter_2024Q2,0.16365293791381125,Return Prediction
cat__Revenue_Band_Premium,0.14528174096862304,Return Prediction
num__recency,0.11400938906714832,Return Prediction
num__Satisfaction_Score,0.0729010371544583,Return Prediction
num__Month_Number,0.051123484580247805,Return Prediction
cat__Quarter_2024Q3,0.048427073178942154,Return Prediction
num__monetary,0.042181809982500706,Return Prediction
num__vader_compound,0.037033343494111894,Return Prediction
num__Quarter_Number,0.031428579193221486,Return Prediction
cat__Revenue_Band_Mid,0.03128097360880484,Return Prediction
cat__Quarter_2024Q4,0.01641336493987451,Return Prediction
num__vader_compound,0.6537798619013786,Satisfaction Prediction
num__monetary,0.17119106517293486,Satisfaction Prediction
num__recency,0.05611156051249101,Satisfaction Prediction
num__Amount,0.0498489091740575,Satisfaction Prediction
num__Month_Number,0.03283735218467673,Satisfaction Prediction
num__customer_purchase_frequency,0.010222145057683664,Satisfaction Prediction
cat__Quarter_2024Q1,0.007033511480357466,Satisfaction Prediction
num__Return_Flag,0.004361304421238178,Satisfaction Prediction
cat__Revenue_Band_High,0.0034445339193684404,Satisfaction Prediction
cat__Quarter_2024Q2,0.002833545842880489,Satisfaction Prediction
cat__Quarter_2024Q4,0.0021842997278941913,Satisfaction Prediction
cat__Revenue_Band_Mid,0.0016221138967633456,Satisfaction Prediction
cat__Revenue_Band_Premium,0.0013824461151830116,Satisfaction Prediction
cat__Quarter_2025Q1,0.001255093189664682,Satisfaction Prediction
cat__Quarter_2024Q3,0.0011623200350046351,Satisfaction Prediction
num__Quarter_Number,0.0006617341152624683,Satisfaction Prediction
cat__Revenue_Band_Low,6.820325316067364e-05,Satisfaction Prediction
num__recency,0.2662813654559801,Segment Prediction
num__monetary,0.201099335428409,Segment Prediction
num__customer_purchase_frequency,0.19862665460814924,Segment Prediction
num__vader_compound,0.0769083813057231,Segment Prediction
num__Amount,0.06613533437316219,Segment Prediction
num__Satisfaction_Score,0.03715897273563301,Segment Prediction
num__Month_Number,0.035591010793148734,Segment Prediction
cat__Quarter_2025Q1,0.019371928342709423,Segment Prediction
num__Quarter_Number,0.016209852162197527,Segment Prediction
cat__Quarter_2024Q2,0.014440448853758918,Segment Prediction
num__Return_Flag,0.01309205497847566,Segment Prediction
cat__Revenue_Band_Low,0.01209214678761093,Segment Prediction
cat__Revenue_Band_Premium,0.008698132483785252,Segment Prediction
cat__Revenue_Band_Mid,0.008147696394513668,Segment Prediction
cat__Quarter_2024Q3,0.0073694928910144454,Segment Prediction
cat__Quarter_2024Q1,0.007009865296919757,Segment Prediction
cat__Quarter_2024Q4,0.0061704103159150436,Segment Prediction
cat__Revenue_Band_High,0.005596916792894036,Segment Prediction
